"";"X";"V1"
"1";1;11
"2";2;1
"3";3;7
"4";4;1
"5";5;12
"6";6;10
"7";7;0
"8";8;8
"9";9;13
"10";10;0
"11";11;2
"12";12;4
"13";13;0
"14";14;13
"15";15;10
"16";16;13
"17";17;11
"18";18;0
"19";19;13
"20";20;0
"21";21;12
"22";22;6
"23";23;0
"24";24;2
"25";25;0
"26";26;6
"27";27;9
"28";28;7
"29";29;10
"30";30;12
"31";31;9
"32";32;8
"33";33;0
"34";34;2
"35";35;12
"36";36;12
"37";37;0
"38";38;0
"39";39;8
"40";40;6
"41";41;12
"42";42;10
"43";43;12
"44";44;10
"45";45;4
"46";46;6
"47";47;2
"48";48;0
"49";49;11
"50";50;13
"51";51;13
"52";52;12
"53";53;12
"54";54;7
"55";55;7
"56";56;5
"57";57;2
"58";58;0
"59";59;9
"60";60;1
"61";61;0
"62";62;10
"63";63;0
"64";64;4
"65";65;9
"66";66;10
"67";67;0
"68";68;6
"69";69;0
"70";70;10
"71";71;8
"72";72;13
"73";73;0
"74";74;0
"75";75;12
"76";76;7
"77";77;0
"78";78;6
"79";79;10
"80";80;9
"81";81;2
"82";82;10
"83";83;9
"84";84;7
"85";85;4
"86";86;7
"87";87;13
"88";88;0
"89";89;0
"90";90;0
"91";91;3
"92";92;12
"93";93;10
"94";94;4
"95";95;10
"96";96;0
"97";97;3
"98";98;13
"99";99;13
"100";100;4
"101";101;10
"102";102;0
"103";103;10
"104";104;5
"105";105;8
"106";106;0
"107";107;0
"108";108;0
"109";109;1
"110";110;1
"111";111;6
"112";112;4
"113";113;1
"114";114;1
"115";115;7
"116";116;1
"117";117;0
"118";118;2
"119";119;9
"120";120;11
"121";121;0
"122";122;13
"123";123;0
"124";124;13
"125";125;7
"126";126;0
"127";127;3
"128";128;12
"129";129;11
"130";130;13
"131";131;9
"132";132;11
"133";133;0
"134";134;3
"135";135;9
"136";136;0
"137";137;12
"138";138;0
"139";139;10
"140";140;3
"141";141;0
"142";142;6
"143";143;10
"144";144;1
"145";145;13
"146";146;6
"147";147;8
"148";148;2
"149";149;3
"150";150;13
"151";151;13
"152";152;13
"153";153;7
"154";154;4
"155";155;11
"156";156;7
"157";157;0
"158";158;10
"159";159;12
"160";160;7
"161";161;12
"162";162;9
"163";163;9
"164";164;13
"165";165;10
"166";166;8
"167";167;4
"168";168;3
"169";169;10
"170";170;0
"171";171;0
"172";172;13
"173";173;0
"174";174;4
"175";175;5
"176";176;13
"177";177;6
"178";178;0
"179";179;10
"180";180;13
"181";181;10
"182";182;1
"183";183;10
"184";184;0
"185";185;2
"186";186;12
"187";187;10
"188";188;13
"189";189;12
"190";190;12
"191";191;10
"192";192;13
"193";193;3
"194";194;0
"195";195;6
"196";196;7
"197";197;13
"198";198;7
"199";199;10
"200";200;4
"201";201;9
"202";202;0
"203";203;12
"204";204;5
"205";205;13
"206";206;0
"207";207;13
"208";208;0
"209";209;6
"210";210;13
"211";211;0
"212";212;11
"213";213;0
"214";214;7
"215";215;4
"216";216;1
"217";217;10
"218";218;10
"219";219;4
"220";220;11
"221";221;10
"222";222;1
"223";223;7
"224";224;4
"225";225;0
"226";226;8
"227";227;10
"228";228;4
"229";229;10
"230";230;7
"231";231;1
"232";232;2
"233";233;5
"234";234;13
"235";235;12
"236";236;13
"237";237;10
"238";238;0
"239";239;0
"240";240;3
"241";241;4
"242";242;0
"243";243;12
"244";244;6
"245";245;9
"246";246;0
"247";247;13
"248";248;0
"249";249;2
"250";250;0
"251";251;10
"252";252;9
"253";253;6
"254";254;6
"255";255;3
"256";256;0
"257";257;2
"258";258;1
"259";259;10
"260";260;5
"261";261;12
"262";262;2
"263";263;4
"264";264;13
"265";265;4
"266";266;1
"267";267;10
"268";268;12
"269";269;3
"270";270;5
"271";271;0
"272";272;3
"273";273;0
"274";274;12
"275";275;0
"276";276;9
"277";277;8
"278";278;1
"279";279;6
"280";280;4
"281";281;7
"282";282;2
"283";283;3
"284";284;0
"285";285;4
"286";286;0
"287";287;4
"288";288;5
"289";289;4
"290";290;8
"291";291;3
"292";292;9
"293";293;1
"294";294;9
"295";295;13
"296";296;13
"297";297;11
"298";298;13
"299";299;8
"300";300;0
"301";301;8
"302";302;3
"303";303;6
"304";304;0
"305";305;13
"306";306;0
"307";307;0
"308";308;11
"309";309;13
"310";310;8
"311";311;0
"312";312;4
"313";313;9
"314";314;12
"315";315;2
"316";316;9
"317";317;4
"318";318;7
"319";319;1
"320";320;0
"321";321;6
"322";322;3
"323";323;2
"324";324;6
"325";325;3
"326";326;9
"327";327;11
"328";328;0
"329";329;8
"330";330;8
"331";331;0
"332";332;2
"333";333;2
"334";334;4
"335";335;13
"336";336;1
"337";337;3
"338";338;1
"339";339;13
"340";340;9
